feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
sent_len,hi,te,residual,trankit,mbert-base,Low,-0.008701811744383448
lex_len,hi,te,residual,trankit,mbert-base,High,-0.009969581943400807
lex_len,hi,te,residual,trankit,mbert-base,Low,-0.008707924078802498
lex_len,hi,te,residual,trankit,mbert-base,Medium,-0.009793737564580796
dep_len,hi,te,residual,trankit,mbert-base,High,-0.007110313769284615
dep_len,hi,te,residual,trankit,mbert-base,Medium,-0.015643437310508657
dep_len,hi,te,residual,trankit,mbert-base,Low,-0.002686547996929023
sent_len,hi,te,residual,trankit,xlmr-base,High,-0.0032395832955581794
sent_len,hi,te,residual,trankit,xlmr-base,Low,-0.00971207097353266
sent_len,hi,te,residual,trankit,xlmr-base,Medium,0.006989539132137401
lex_len,hi,te,residual,trankit,xlmr-base,High,-0.007518206767980096
lex_len,hi,te,residual,trankit,xlmr-base,Low,-0.006292096137487824
lex_len,hi,te,residual,trankit,xlmr-base,Medium,-0.010086680389359115
dep_len,hi,te,residual,trankit,xlmr-base,High,-0.0065048905670082036
dep_len,hi,te,residual,trankit,xlmr-base,Medium,-0.015359550256396681
dep_len,hi,te,residual,trankit,xlmr-base,Low,-0.002570393513999236
sent_len,te,en,residual,stanza,mbert-base,High,-0.008107567933053894
sent_len,te,en,residual,stanza,mbert-base,Low,-0.009250858245124394
sent_len,te,en,residual,stanza,mbert-base,Medium,-0.014240032798352176
lex_len,te,en,residual,stanza,mbert-base,High,-0.008766197069980719
lex_len,te,en,residual,stanza,mbert-base,Low,-0.00946500054094157
lex_len,te,en,residual,stanza,mbert-base,Medium,-0.005753838014803669
dep_len,te,en,residual,stanza,mbert-base,High,-0.014583263816389747
dep_len,te,en,residual,stanza,mbert-base,Medium,-0.013100398576394556
dep_len,te,en,residual,stanza,mbert-base,Low,-0.004981134777785945
sent_len,te,en,residual,stanza,xlmr-base,High,-0.006965905142129358
sent_len,te,en,residual,stanza,xlmr-base,Low,-0.010759415816444018
sent_len,te,en,residual,stanza,xlmr-base,Medium,-0.007945233516689298
lex_len,te,en,residual,stanza,xlmr-base,High,-0.008737669391579383
lex_len,te,en,residual,stanza,xlmr-base,Low,-0.009094613962889131
lex_len,te,en,residual,stanza,xlmr-base,Medium,-0.004923916338795631
dep_len,te,en,residual,stanza,xlmr-base,High,-0.014184024113477522
dep_len,te,en,residual,stanza,xlmr-base,Medium,-0.012497932297138692
dep_len,te,en,residual,stanza,xlmr-base,Low,-0.004791527555112363
sent_len,te,en,residual,trankit,mbert-base,High,-0.007479187554782607
sent_len,te,en,residual,trankit,mbert-base,Low,-0.013307622119380302
sent_len,te,en,residual,trankit,mbert-base,Medium,-0.013603181046280555
lex_len,te,en,residual,trankit,mbert-base,High,-0.008923990622852984
lex_len,te,en,residual,trankit,mbert-base,Low,-0.010276782813033014
lex_len,te,en,residual,trankit,mbert-base,Medium,-0.010654532975587716
dep_len,te,en,residual,trankit,mbert-base,High,-0.012924262379774176
