src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,de,stanza,rgat,xlmr-base,15123,0.6747388173302709
en,de,trankit,rgcn,xlmr-base,15123,0.6897642134914064
en,de,trankit,rgat,xlmr-base,15123,0.7443116543136561
en,de,None,None,xlmr-base,15123,0.6978673686139981
en,de,stanza,rgcn,xlmr-base,98105,0.6675849841191018
en,de,stanza,rgat,xlmr-base,98105,0.7120955645912448
en,de,trankit,rgcn,xlmr-base,98105,0.6836743670899996
en,de,trankit,rgat,xlmr-base,98105,0.7341297602817176
en,de,None,None,xlmr-base,98105,0.7519577213420469
en,de,stanza,rgcn,xlmr-base,98109,0.7550868628733666
en,de,stanza,rgat,xlmr-base,98109,0.7230878714513362
en,de,trankit,rgcn,xlmr-base,98109,0.735900024323454
en,de,trankit,rgat,xlmr-base,98109,0.739740919181122
en,de,None,None,xlmr-base,98109,0.7371285603072013
en,de,stanza,rgcn,xlmr-base,15232,0.7383323476936603
en,de,stanza,rgat,xlmr-base,15232,0.697963844321575
en,de,trankit,rgcn,xlmr-base,15232,0.7134922773130954
en,de,trankit,rgat,xlmr-base,15232,0.7106767221843191
en,de,None,None,xlmr-base,15232,0.7183113300513365
en,ar,stanza,rgcn,mbert-base,11737,0.7212854526900505
en,ar,stanza,rgat,mbert-base,11737,0.7166068116803539
en,ar,trankit,rgcn,mbert-base,11737,0.7467835679063163
en,ar,trankit,rgat,mbert-base,11737,0.7227815537217516
en,ar,None,None,mbert-base,11737,0.7282790777444182
en,ar,stanza,rgcn,mbert-base,15123,0.7035978629227915
en,ar,stanza,rgat,mbert-base,15123,0.7539088785263772
en,ar,trankit,rgcn,mbert-base,15123,0.6661266641454229
en,ar,trankit,rgat,mbert-base,15123,0.7359950347160253
en,ar,None,None,mbert-base,15123,0.735725124164978
en,ar,stanza,rgcn,mbert-base,98105,0.7492654674728194
en,ar,stanza,rgat,mbert-base,98105,0.7065973819323985
en,ar,trankit,rgcn,mbert-base,98105,0.6920019322861659
en,ar,trankit,rgat,mbert-base,98105,0.700453917958646
en,ar,None,None,mbert-base,98105,0.7166034088270161
en,ar,stanza,rgcn,mbert-base,98109,0.7515683873405021
en,ar,stanza,rgat,mbert-base,98109,0.7377046582512627
en,ar,trankit,rgcn,mbert-base,98109,0.7540013956021758
en,ar,trankit,rgat,mbert-base,98109,0.7519085168035442
en,ar,None,None,mbert-base,98109,0.7038333068519655
en,ar,stanza,rgcn,mbert-base,15232,0.7319311316496723
en,ar,stanza,rgat,mbert-base,15232,0.7317116584852446
en,ar,trankit,rgcn,mbert-base,15232,0.7129136688835058
