feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
lex_len,es,fr,residual,stanza,xlmr-base,Medium,-0.003578082542583294
dep_len,es,fr,residual,stanza,xlmr-base,High,-0.0025939285819934765
dep_len,es,fr,residual,stanza,xlmr-base,Medium,-0.003334272838992125
dep_len,es,fr,residual,stanza,xlmr-base,Low,0.0019851766798427706
sent_len,es,fr,residual,trankit,mbert-base,High,-0.0003556528864974151
sent_len,es,fr,residual,trankit,mbert-base,Medium,-0.004704169010042447
sent_len,es,fr,residual,trankit,mbert-base,Low,0.004800523415562363
lex_len,es,fr,residual,trankit,mbert-base,High,-0.0006301226384106684
lex_len,es,fr,residual,trankit,mbert-base,Low,-0.0006612194242522351
lex_len,es,fr,residual,trankit,mbert-base,Medium,-0.0032202664190320585
dep_len,es,fr,residual,trankit,mbert-base,High,-0.0024078562117203495
dep_len,es,fr,residual,trankit,mbert-base,Medium,-0.003940260705599163
dep_len,es,fr,residual,trankit,mbert-base,Low,0.0033492921244748786
sent_len,es,fr,residual,trankit,xlmr-base,High,0.00033114399223932445
sent_len,es,fr,residual,trankit,xlmr-base,Medium,-0.00748456835178124
sent_len,es,fr,residual,trankit,xlmr-base,Low,0.009139929974066874
lex_len,es,fr,residual,trankit,xlmr-base,High,-0.0003894133017480206
lex_len,es,fr,residual,trankit,xlmr-base,Low,0.0006999989764623349
lex_len,es,fr,residual,trankit,xlmr-base,Medium,-0.0043947322958276525
dep_len,es,fr,residual,trankit,xlmr-base,High,-0.001826742051536101
dep_len,es,fr,residual,trankit,xlmr-base,Medium,-0.0036723282667456836
dep_len,es,fr,residual,trankit,xlmr-base,Low,0.0027071168844593485
sent_len,es,it,residual,stanza,mbert-base,High,0.0003167115111297747
sent_len,es,it,residual,stanza,mbert-base,Medium,-0.009101874395748277
sent_len,es,it,residual,stanza,mbert-base,Low,0.014999166320744939
lex_len,es,it,residual,stanza,mbert-base,High,-0.0005054069245997717
lex_len,es,it,residual,stanza,mbert-base,Medium,0.0005480508703334941
lex_len,es,it,residual,stanza,mbert-base,Low,0.007579236888864749
dep_len,es,it,residual,stanza,mbert-base,High,-0.0013203285847153134
dep_len,es,it,residual,stanza,mbert-base,Medium,-0.0035333801270998055
dep_len,es,it,residual,stanza,mbert-base,Low,0.0005039228242706972
sent_len,es,it,residual,stanza,xlmr-base,High,9.413646552203225e-05
sent_len,es,it,residual,stanza,xlmr-base,Medium,-0.007874864340791543
sent_len,es,it,residual,stanza,xlmr-base,Low,0.005944507677696165
lex_len,es,it,residual,stanza,xlmr-base,High,-0.0003497664812942558
lex_len,es,it,residual,stanza,xlmr-base,Medium,0.0020679915400430016
lex_len,es,it,residual,stanza,xlmr-base,Low,0.0010363890535949327
dep_len,es,it,residual,stanza,xlmr-base,High,-0.001133609716321815
dep_len,es,it,residual,stanza,xlmr-base,Medium,-0.0021282205463021286
dep_len,es,it,residual,stanza,xlmr-base,Low,0.0010385025759818145
sent_len,es,it,residual,trankit,mbert-base,High,-0.0005754560779607232
sent_len,es,it,residual,trankit,mbert-base,Medium,0.0039361012637452175
sent_len,es,it,residual,trankit,mbert-base,Low,0.008139638601329935
lex_len,es,it,residual,trankit,mbert-base,High,-0.0006749965801196023
lex_len,es,it,residual,trankit,mbert-base,Medium,-0.00025025346370233237
lex_len,es,it,residual,trankit,mbert-base,Low,0.007200060983649115
dep_len,es,it,residual,trankit,mbert-base,High,-0.000983574068778248
