src,tgt,dep_model,gnn_model,ml_model,seed,f1
hi,te,trankit,rgat,xlmr-base,11737,0.5061481202723713
hi,te,None,None,xlmr-base,11737,0.5111271113185395
hi,te,stanza,rgcn,xlmr-base,15123,0.5159008083191394
hi,te,stanza,rgat,xlmr-base,15123,0.5206221200798755
hi,te,trankit,rgcn,xlmr-base,15123,0.5676530848357028
hi,te,trankit,rgat,xlmr-base,15123,0.5743152041497158
hi,te,None,None,xlmr-base,15123,0.5371379232959383
hi,te,stanza,rgcn,xlmr-base,98105,0.5635581812539171
hi,te,stanza,rgat,xlmr-base,98105,0.5371438687153379
hi,te,trankit,rgcn,xlmr-base,98105,0.4976005922852184
hi,te,trankit,rgat,xlmr-base,98105,0.5187851710588397
hi,te,None,None,xlmr-base,98105,0.524810692052647
hi,te,stanza,rgcn,xlmr-base,98109,0.5357816940941414
hi,te,stanza,rgat,xlmr-base,98109,0.577912246335944
hi,te,trankit,rgcn,xlmr-base,98109,0.5258950080402542
hi,te,trankit,rgat,xlmr-base,98109,0.5494500267357759
hi,te,None,None,xlmr-base,98109,0.5490168309851239
hi,te,stanza,rgcn,xlmr-base,15232,0.5414922262377175
hi,te,stanza,rgat,xlmr-base,15232,0.5294608036513817
hi,te,trankit,rgcn,xlmr-base,15232,0.5360401974164692
hi,te,trankit,rgat,xlmr-base,15232,0.3645431668857938
hi,te,None,None,xlmr-base,15232,0.5097328176141881
te,en,stanza,rgcn,mbert-base,11737,0.4268312454073582
te,en,stanza,rgat,mbert-base,11737,0.43702090066028293
te,en,trankit,rgcn,mbert-base,11737,0.4739782910248479
te,en,trankit,rgat,mbert-base,11737,0.46238998853488544
te,en,None,None,mbert-base,11737,0.44482062543822504
te,en,stanza,rgcn,mbert-base,15123,0.4220967510086936
te,en,stanza,rgat,mbert-base,15123,0.4499384473160076
te,en,trankit,rgcn,mbert-base,15123,0.46894977172645064
te,en,trankit,rgat,mbert-base,15123,0.47517332127667233
te,en,None,None,mbert-base,15123,0.4180737895293342
te,en,stanza,rgcn,mbert-base,98105,0.4412698322401885
te,en,stanza,rgat,mbert-base,98105,0.4348557140505344
te,en,trankit,rgcn,mbert-base,98105,0.42965259552350354
te,en,trankit,rgat,mbert-base,98105,0.4452764906854834
te,en,None,None,mbert-base,98105,0.43675111943026396
te,en,stanza,rgcn,mbert-base,98109,0.45074270983506404
te,en,stanza,rgat,mbert-base,98109,0.45050543752381844
te,en,trankit,rgcn,mbert-base,98109,0.46238169088084924
te,en,trankit,rgat,mbert-base,98109,0.4258795992117654
te,en,None,None,mbert-base,98109,0.47635285991146875
te,en,stanza,rgcn,mbert-base,15232,0.47456805938786667
te,en,stanza,rgat,mbert-base,15232,0.44380618650356013
te,en,trankit,rgcn,mbert-base,15232,0.4885134317107927
te,en,trankit,rgat,mbert-base,15232,0.4468187002550179
te,en,None,None,mbert-base,15232,0.4381087580760925
te,en,stanza,rgcn,xlmr-base,11737,0.3807942115449406
te,en,stanza,rgat,xlmr-base,11737,0.3859395030393278
te,en,trankit,rgcn,xlmr-base,11737,0.4125629899310851
te,en,trankit,rgat,xlmr-base,11737,0.41223511878393154
te,en,None,None,xlmr-base,11737,0.4292284071299842
te,en,stanza,rgcn,xlmr-base,15123,0.3759041424783848
te,en,stanza,rgat,xlmr-base,15123,0.3487929779324337
te,en,trankit,rgcn,xlmr-base,15123,0.4257847063664249
te,en,trankit,rgat,xlmr-base,15123,0.38213283239196316
te,en,None,None,xlmr-base,15123,0.36944429517500377
te,en,stanza,rgcn,xlmr-base,98105,0.3182836018224257
te,en,stanza,rgat,xlmr-base,98105,0.39938872813816184
te,en,trankit,rgcn,xlmr-base,98105,0.3809262003259542
te,en,trankit,rgat,xlmr-base,98105,0.41719597700799316
te,en,None,None,xlmr-base,98105,0.3726813977348978
te,en,stanza,rgcn,xlmr-base,98109,0.4317881806712188
te,en,stanza,rgat,xlmr-base,98109,0.3835562478625505
te,en,trankit,rgcn,xlmr-base,98109,0.3585490029397011
te,en,trankit,rgat,xlmr-base,98109,0.41127060040918556
te,en,None,None,xlmr-base,98109,0.2933481711430232
te,en,stanza,rgcn,xlmr-base,15232,0.42321766736783323
te,en,stanza,rgat,xlmr-base,15232,0.34508926923364447
te,en,trankit,rgcn,xlmr-base,15232,0.4166941441862249
te,en,trankit,rgat,xlmr-base,15232,0.31493550542554577
te,en,None,None,xlmr-base,15232,0.4262255933339135
te,hi,stanza,rgcn,mbert-base,11737,0.5521177549482356
te,hi,stanza,rgat,mbert-base,11737,0.5630762370079968
te,hi,trankit,rgcn,mbert-base,11737,0.5366366326003696
te,hi,trankit,rgat,mbert-base,11737,0.5763761250235179
te,hi,None,None,mbert-base,11737,0.5073882670239864
te,hi,stanza,rgcn,mbert-base,15123,0.5468058811081871
te,hi,stanza,rgat,mbert-base,15123,0.5225848587179718
te,hi,trankit,rgcn,mbert-base,15123,0.5401844977072265
te,hi,trankit,rgat,mbert-base,15123,0.5162247785210595
