src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
fr,de,stanza,rgat,xlmr-base,"[15232, 98109, 98105]",66.24,0.96,64.63,2.11
fr,de,trankit,rgcn,xlmr-base,"[98109, 15123, 11737]",66.43,0.67,65.01,2.46
fr,de,trankit,rgat,xlmr-base,"[15232, 15123, 98109]",70.61,1.01,69.14,2.0
fr,de,None,None,xlmr-base,"[11737, 15232, 15123]",68.48,1.33,67.48,1.65
fr,ar,stanza,rgcn,mbert-base,"[15232, 11737, 15123]",70.44,0.78,68.97,2.24
fr,ar,stanza,rgat,mbert-base,"[98105, 15232, 11737]",71.46,0.99,70.12,1.89
fr,ar,trankit,rgcn,mbert-base,"[11737, 98109, 15123]",72.39,0.47,71.31,1.52
fr,ar,trankit,rgat,mbert-base,"[11737, 98105, 98109]",70.93,0.83,69.09,2.42
fr,ar,None,None,mbert-base,"[11737, 15123, 98109]",70.22,1.13,68.52,2.76
fr,ar,stanza,rgcn,xlmr-base,"[15232, 98105, 15123]",58.71,0.64,57.76,1.4
fr,ar,stanza,rgat,xlmr-base,"[98105, 15232, 11737]",59.01,0.93,58.03,1.53
fr,ar,trankit,rgcn,xlmr-base,"[11737, 98105, 15232]",58.9,2.22,57.89,2.12
fr,ar,trankit,rgat,xlmr-base,"[11737, 15232, 98109]",61.53,1.22,59.83,2.3
fr,ar,None,None,xlmr-base,"[98109, 98105, 15123]",61.54,1.18,60.25,1.83
fr,zh,stanza,rgcn,mbert-base,"[98109, 15123, 15232]",66.81,0.86,66.28,0.97
fr,zh,stanza,rgat,mbert-base,"[15232, 98105, 11737]",67.55,1.24,65.9,2.31
fr,zh,trankit,rgcn,mbert-base,"[15232, 98105, 11737]",69.71,0.65,68.63,1.66
fr,zh,trankit,rgat,mbert-base,"[11737, 98109, 98105]",68.41,0.46,67.2,1.83
fr,zh,None,None,mbert-base,"[11737, 98109, 98105]",66.38,2.55,64.07,3.46
fr,zh,stanza,rgcn,xlmr-base,"[15123, 15232, 11737]",62.9,2.7,60.9,3.27
fr,zh,stanza,rgat,xlmr-base,"[98105, 98109, 15232]",60.26,1.58,59.5,1.57
fr,zh,trankit,rgcn,xlmr-base,"[15123, 15232, 98109]",59.51,1.84,56.69,3.9
fr,zh,trankit,rgat,xlmr-base,"[15232, 98105, 11737]",59.92,1.29,59.28,1.27
fr,zh,None,None,xlmr-base,"[15123, 98109, 98105]",59.37,2.6,58.14,2.53
it,en,stanza,rgcn,mbert-base,"[11737, 98109, 15123]",78.99,0.55,77.76,1.58
it,en,stanza,rgat,mbert-base,"[11737, 98109, 98105]",76.71,0.87,75.12,2.52
it,en,trankit,rgcn,mbert-base,"[15232, 98109, 15123]",77.08,1.37,75.58,2.56
it,en,trankit,rgat,mbert-base,"[15123, 11737, 98109]",77.15,0.11,76.74,0.51
